Genus,Species,CurrentListing
Acropora,massawensis,II
Acropora,meridiana,II
Acropora,microclados,II
Acropora,microphthalma,II
Acropora,millepora,II
Acropora,minuta,II
Acropora,mirabilis,II
Acropora,monticulosa,II
Acropora,mossambica,II
Acropora,multiacuta,II
Acropora,nana,II
Acropora,nasuta,II
Acropora,natalensis,II
Acropora,navini,II
Acropora,nobilis,II
Acropora,ocellata,II
Acropora,orbicularis,II
Acropora,palifera,II
Acropora,palmata,II
Acropora,palmerae,II
Acropora,paniculata,II
Acropora,papillare,II
Acropora,parahemprichii,II
Acropora,parapharaonis,II
Acropora,parilis,II
Acropora,pharaonis,II
Acropora,pichoni,II
Acropora,pinguis,II
Acropora,plana,II
Acropora,plantaginea,II
Acropora,plumosa,II
Acropora,pocilloporina,II
Acropora,polystoma,II
Acropora,prolifera,II
Acropora,prostrata,II
Acropora,proximalis,II
Acropora,pruinosa,II
Acropora,pulchra,II
Acropora,rambleri,II
Acropora,retusa,II
Acropora,ridzwani,II
Acropora,robusta,II
Acropora,rongelapensis,II
Acropora,rosaria,II
Acropora,roseni,II
Acropora,rudis,II
Acropora,rufus,II
Acropora,russelli,II
Acropora,samoensis,II
Acropora,sarmentosa,II
Acropora,scherzeriana,II
Acropora,schmitti,II
Acropora,secale,II
Acropora,sekiseiensis,II
Acropora,selago,II
Acropora,seriata,II
Acropora,simplex,II
Acropora,solitaryensis,II
Acropora,sordiensis,II
Acropora,spathulata,II
Acropora,speciosa,II
Acropora,spicifera,II
Acropora,squarrosa,II
Acropora,stoddarti,II
Acropora,striata,II
Acropora,subglabra,II
Acropora,subulata,II
Acropora,suharsonoi,II
Acropora,sukarnoi,II
Acropora,tanegashimensis,II
Acropora,tenella,II
Acropora,tenuis,II
Acropora,teres,II
Acropora,thomasi,II
Acropora,tizardi,II
Acropora,togianensis,II
Acropora,torihalimeda,II
Acropora,torresiana,II
Acropora,tortuosa,II
Acropora,tumida,II
Acropora,turaki,II
Acropora,tutuilensis,II
Acropora,valenciennesi,II
Acropora,valida,II
