control_number,specific_name,generic_name,category,qty,unit,origin,ship_date
2014400343,,CORAL,LIV,1,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,8,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,9,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,10,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,1,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,7,NO,ID,1/9/14
2014400343,,CORAL,LIV,3,NO,ID,1/9/14
2014400343,,CORAL,LIV,4,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,7,NO,ID,1/9/14
2014400343,,CORAL,LIV,2,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,2,NO,ID,1/9/14
2014400343,STAGHORN,CORAL,LIV,3,NO,ID,1/9/14
2014400343,,CORAL,LIV,1,NO,ID,1/9/14
2014400343,,CORAL,LIV,3,NO,ID,1/9/14
2014400343,TORCH,CORAL,LIV,1,NO,ID,1/9/14
2014400343,PULSE,CORAL,LIV,1,NO,ID,1/9/14
2014400343,,CORAL,LIV,1,NO,ID,1/9/14
2014400343,,CORAL,LIV,1,NO,ID,1/9/14
2014400343,,CORAL,LIV,1,NO,ID,1/9/14
2014400435,ABALONE,SHELL,SPR,1,N0,AU,1/6/14
2014400435,,OYSTER,SPR,2,NO,AU,1/6/14
2014400871,,SQUID,MEA,9726,KG,CN,1/16/14
2014400933,PEARL,MUSSEL,SPR,47088,NO,CN,1/10/14
2014400950,GREAT PEARL,OYSTER,JWL,209,NO,PH,1/12/14
2014400950,ABALONE,SHELL,JWL,143,NO,NZ,1/12/14
2014400950,,SHELL,JWL,172,NO,US,1/12/14
2014400950,,OYSTER,JWL,46,NO,PF,1/12/14
2014400950,,SEA FAN,JWL,3,NO,CN,1/12/14
2014400950,,OYSTER,JWL,16,NO,PH,1/12/14
2014400998,NORTH AFRICAN,OSTRICH,BOD,1,NO,XX,1/11/14
2014401093,MUREX,SHELL,SPR,21600,NO,CN,1/10/14
2014401101,AMERICAN,MINK,SKI,328,NO,GR,1/13/14
2014401106,TROCHA,SHELL,SPR,32004,NO,JP,1/4/14
2014401273,RADIATED RAT,SNAKE,SHO,792,NO,ID,1/2/14
2014401301,SHORTFIN,SQUID,SPR,24630,KG,TW,1/13/14
2014401548,BALEEN,WHALES,MEA,1,NO,JP,1/3/14
2014401699,CAPIZ,SHELL,SPR,520,NO,PH,1/14/14
2014401705,CAPIZ,SHELL,SPR,342,NO,PH,1/14/14
2014401947,,SQUID,MEA,1371,KG,TH,1/13/14
2014402125,AMERICAN,MINK,SKI,1000,NO,GR,1/13/14
2014402127,AMERICAN,MINK,SKI,500,NO,GR,1/13/14
2014402128,AMERICAN,MINK,SKI,10960,NO,NL,1/13/14
2014402135,AMERICAN,MINK,SKI,2120,NO,BA,1/13/14
2014402137,AMERICAN,MINK,SKI,1964,NO,BA,1/13/14
2014402139,AMERICAN,MINK,SKI,1014,NO,BA,1/13/14
